References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
Q2	1	P-Channel MOSFET	Fairchild	FDS6575											6710570		
Q1	1	N-Channel mosfet	Vishay	SI4840BDY-T1-GE3											7104736		
R1	1	1.5kohm	TE Connectivity	LR1F1K5											148540		
R2	1	0.22ohm	Vishay	RWM0410R220JR15E1											4851414		
R3	1	8.2kohm	TE Connectivity	LR1F8K2											148714		
R4;R5	2	Resistor 220  ohm 250mW through-hole	Yageo	MFR-25FBF52-220R	TE Connectivity	CBT25J220R	TE Connectivity	CFR16J220R	Ohmite	OD221JE	Stackpole Electronics	CF14JT220R	CF14JT220RCT-ND	279CBT25J220R	8066376	21R0186	1265068
R6	1	Resistor 1k 250mW through-hole	Multicomp	MF12 1K	Yageo	MFR-25FBF52-1K	RS Pro	7077666					1.00KXBK-ND	603MFR25FBF521K	7077666	38K5400	9342400
R7	1	Resistor 20W TO-220	Bourns	PWR220T-20-R500F									PWR220T-20-R500F-ND	652PWR220T20R500F	7962508	55R1098	2328267
J1;J2	2	Terminal block 5mm	RS Pro	494-8956	TE Connectivity	282836-2									4948956		
J3	1	BNC connector	TE	1-1337542-0											5121203		
RV1	1	5kohm	Bourns	3362P-1-502LF											5220978		
RV2	1	Potentiometer 25Ohms 5W	CTS	026TB32R250B1A1											1790668		
D1	1	1N5819  diode	ON	1N5819G											7743347		
