References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
USB Type A	1		FCI	87520-0010BLF	609-1045-ND	649875200010BLF	7710057		2112381
USB Type B Micro	2		Hirose	ZX62D-B-5P8(30)	H125272CT-ND	798ZX62DB5P830	1361405		2554980
C1, C5, C9	3		KEMET	C0805Y104K4RACAUTO		80C0805Y104K4RAUTO			2673142
C2, C3	2		Würth Elektronik	8.8512E+11	732-7829-6-ND	7.1885E+14	1814032		2533861
C4, C8	2		Panasonic	EEE-1CA100SR	PCE3878CT-ND	667EEE1CA100SR	9206828		9696920
C6, C7, C10, C11	4		AVX	08053C105JAT2A	478-10487-6-ND	58108053C105JAT2A			2332736
D1, D2, D3, D4	4		Panasonic	DB2W31900L	DB2W31900LCT-ND		7240321		2284956
D5	1		Bourns	CD1206-S01575	CD1206-S01575TR-ND	652CD1206S01575	7734514		2211947
D6	1		Kingbright	KP-1608EC			8610018		2463988
D7	1		Kingbright	KP-1608CGCK			8610015		2290328
D8	1		Kingbright	KPT-1608YC			8610163		2099227
D9	1		Kingbright	KP-1608QBC-D			8608867		2217972
D10	1		Bourns	CD-HD2004	CD-HD2004CT-ND	652CDHD2004	1261771P		2676044
F1	1		Littelfuse	MINISMDC260F-2	MINISMDC260F-2CT-ND	650MINISMDC260F2	7826420		1345935
F2, F3, F4	3		Littelfuse	1210L035YR	F2997CT-ND	5761210L035			1822207
F5	1		Littelfuse	1206L050YR	F2112CT-ND	5761206L050YR	7874198		1596993
L1	1		TDK	MPZ2012S601A		810MPZ2012S601A			1669753
L2	1		Würth Elektronik	742792031	732-4638-1-ND	7.1743E+11	6694092		1635734
J12, J13, J14	3		JST	S5B-XH-A(LF)(SN)	455-2242-ND		8201598		1516293
R1, R2, R5, R6	4		Panasonic	ERJ-6GEYJ103V	P10KACT-ND	667ERJ6GEYJ103V	7326539		2057719
R3, R4	2		Panasonic	ERJ-6GEYJ220V	P22ACT-ND	667ERJ6GEYJ220V	7326602		2057672
RN1	1		Panasonic	EXB-38V102JV	Y9102CT-ND	667EXB38V102JV	6652922		2060100
RV1, VR2	2		Bourns	CG0603MLC-05E	CG0603MLC-05ECT-ND	652CG0603MLC05E	1814489		1838966
U1	1		Microchip	ATMEGA32U4-AU	ATMEGA32U4-AU-ND	556ATMEGA32U4AU	1310289		1748525
U2, U3	2		ON Semiconductor	ULN2003ADR2G	ULN2003ADR2GOSCT-ND	863ULN2003ADR2G	1868994P		2628016
Y1	1		Abracon	ABM8-16.000MHZ-B2-T	535-9134-6-ND	815ABM816B2T	1712253		1611819
Male headers	1		Multicomp	2213S-50G					2847228
